station,winter_avg_pm25,monsoon_avg_pm25,pct_higher_in_winter
deshpande nagar,47.9,12.6,278.9
ramteerth nagar,36.6,13.6,168.8
hebbal,39.3,16.1,143.9
jayanagar 5th block,55.1,22.7,142.7
thimmalapura,53.2,23.1,130.1
hombegowda nagar,29.1,13.5,115.6
lal bahadur shastri nagar,39.5,19.0,108.2
bapuji nagar,49.2,24.6,99.6
kadri,41.2,22.0,87.7
silk board,43.8,24.8,76.6
jigani,38.4,25.0,53.7
btm layout,27.1,18.7,44.8
kasturi nagar,37.9,26.9,40.8
peenya,32.4,23.2,39.8
hebbal 1st stage,23.0,16.6,38.8
lingaraj nagar,26.5,19.2,38.2
shivapura peenya,31.9,26.2,21.8
vinoba nagara,22.0,19.1,15.4
rvce-mailasandra,43.4,47.6,-8.8
bwssb kadabesanahalli,33.7,38.9,-13.3
